Task,Category,Priority,Due Date,Notes
"Read 1 Kings 12:1-24 (Jun 14)","Bible Reading","normal","2026-06-14","Day 107 of reading plan"
"Read 1 Kings 17:1-24 (Jun 15)","Bible Reading","normal","2026-06-15","Day 108 of reading plan"
"Read 1 Kings 18:16-46 (Jun 16)","Bible Reading","normal","2026-06-16","Day 109 of reading plan"
"Read 1 Kings 19:1-21 (Jun 17)","Bible Reading","normal","2026-06-17","Day 110 of reading plan"
"Read 1 Kings 21:1-29 (Jun 18)","Bible Reading","normal","2026-06-18","Day 111 of reading plan"
"Read 1 Kings 22:29-40 (Jun 19)","Bible Reading","normal","2026-06-19","Day 112 of reading plan"
"Read 2 Kings 2:1-12 (Jun 20)","Bible Reading","normal","2026-06-20","Day 113 of reading plan"
"Read 2 Kings 2:13-25 (Jun 21)","Bible Reading","normal","2026-06-21","Day 114 of reading plan"
"Read 2 Kings 5:1-27 (Jun 22)","Bible Reading","normal","2026-06-22","Day 115 of reading plan"
"Read 2 Kings 11:1-21 (Jun 23)","Bible Reading","normal","2026-06-23","Day 116 of reading plan"
"Read 2 Kings 22:1-23:3 (Jun 24)","Bible Reading","normal","2026-06-24","Day 117 of reading plan"
"Read Ezra 3:7-13 (Jun 25)","Bible Reading","normal","2026-06-25","Day 118 of reading plan"
"Read Nehemiah 2:1-20 (Jun 26)","Bible Reading","normal","2026-06-26","Day 119 of reading plan"
"Read Nehemiah 5:1-19 (Jun 27)","Bible Reading","normal","2026-06-27","Day 120 of reading plan"
"Read Nehemiah 8:1-18 (Jun 28)","Bible Reading","normal","2026-06-28","Day 121 of reading plan"
"Read Esther 1:1-22 (Jun 29)","Bible Reading","normal","2026-06-29","Day 122 of reading plan"
"Read Esther 2:1-23 (Jun 30)","Bible Reading","normal","2026-06-30","Day 123 of reading plan"
"Read Esther 3:1-15 (Jul 1)","Bible Reading","normal","2026-07-01","Day 124 of reading plan"
"Read Esther 4:1-17 (Jul 2)","Bible Reading","normal","2026-07-02","Day 125 of reading plan"
"Read Esther 5:1-14 (Jul 3)","Bible Reading","normal","2026-07-03","Day 126 of reading plan"
"Read Esther 6:1-7:10 (Jul 4)","Bible Reading","normal","2026-07-04","Day 127 of reading plan"
"Read Job 1:1-22 (Jul 5)","Bible Reading","normal","2026-07-05","Day 128 of reading plan"
"Read Job 2:1-13 (Jul 6)","Bible Reading","normal","2026-07-06","Day 129 of reading plan"
"Read Job 38:1-41 (Jul 7)","Bible Reading","normal","2026-07-07","Day 130 of reading plan"
"Read Job 42:1-17 (Jul 8)","Bible Reading","normal","2026-07-08","Day 131 of reading plan"
"Read Psalm 1:1-6 (Jul 9)","Bible Reading","normal","2026-07-09","Day 132 of reading plan"
"Read Psalm 8:1-9 (Jul 10)","Bible Reading","normal","2026-07-10","Day 133 of reading plan"
"Read Psalm 23:1-6 (Jul 11)","Bible Reading","normal","2026-07-11","Day 134 of reading plan"
"Read Psalm 51:1-19 (Jul 12)","Bible Reading","normal","2026-07-12","Day 135 of reading plan"
"Read Psalm 103:1-22 (Jul 13)","Bible Reading","normal","2026-07-13","Day 136 of reading plan"
"Read Psalm 139:1-24 (Jul 14)","Bible Reading","normal","2026-07-14","Day 137 of reading plan"
"Read Psalm 145:1-21 (Jul 15)","Bible Reading","normal","2026-07-15","Day 138 of reading plan"
"Read Proverbs 4:1-27 (Jul 16)","Bible Reading","normal","2026-07-16","Day 139 of reading plan"
"Read Proverbs 5:1-23 (Jul 17)","Bible Reading","normal","2026-07-17","Day 140 of reading plan"
"Read Ecclesiastes 12:1-14 (Jul 18)","Bible Reading","normal","2026-07-18","Day 141 of reading plan"
"Read Isaiah 6:1-13 (Jul 19)","Bible Reading","normal","2026-07-19","Day 142 of reading plan"
"Read Isaiah 53:1-12 (Jul 20)","Bible Reading","normal","2026-07-20","Day 143 of reading plan"
"Read Jeremiah 1:1-9 (Jul 21)","Bible Reading","normal","2026-07-21","Day 144 of reading plan"
"Read Jeremiah 36:1-32 (Jul 22)","Bible Reading","normal","2026-07-22","Day 145 of reading plan"
"Read Jeremiah 38:1-13 (Jul 23)","Bible Reading","normal","2026-07-23","Day 146 of reading plan"
"Read Ezekiel 37:1-14 (Jul 24)","Bible Reading","normal","2026-07-24","Day 147 of reading plan"
"Read Daniel 1:1-21 (Jul 25)","Bible Reading","normal","2026-07-25","Day 148 of reading plan"
"Read Daniel 2:1-24 (Jul 26)","Bible Reading","normal","2025-07-26","Day 149 of reading plan"
"Read Daniel 2:25-49 (Jul 27)","Bible Reading","normal","2025-07-27","Day 150 of reading plan"
"Read Daniel 3:1-30 (Jul 28)","Bible Reading","normal","2025-07-28","Day 151 of reading plan"
"Read Daniel 5:1-30 (Jul 29)","Bible Reading","normal","2025-07-29","Day 152 of reading plan"
"Read Daniel 6:1-28 (Jul 30)","Bible Reading","normal","2025-07-30","Day 153 of reading plan"
"Read Jonah 1:1-2:10 (Jul 31)","Bible Reading","normal","2025-07-31","Day 154 of reading plan"
"Read Jonah 3:1-4:11 (Aug 1)","Bible Reading","normal","2025-08-01","Day 155 of reading plan"
"Read John 1:1-18 (Aug 2)","Bible Reading","normal","2025-08-02","Day 156 of reading plan"
"Read Luke 1:5-25 (Aug 3)","Bible Reading","normal","2025-08-03","Day 157 of reading plan"
"Read Luke 1:26-56 (Aug 4)","Bible Reading","normal","2025-08-04","Day 158 of reading plan"
"Read Luke 1:57-80 (Aug 5)","Bible Reading","normal","2025-08-05","Day 159 of reading plan"
"Read Matthew 1:1-25 (Aug 6)","Bible Reading","normal","2025-08-06","Day 160 of reading plan"
"Read Luke 2:1-20 (Aug 7)","Bible Reading","normal","2025-08-07","Day 161 of reading plan"
"Read Luke 2:21-39 (Aug 8)","Bible Reading","normal","2025-08-08","Day 162 of reading plan"
"Read Matthew 2:1-12 (Aug 9)","Bible Reading","normal","2025-08-09","Day 163 of reading plan"
"Read Matthew 2:13-23 (Aug 10)","Bible Reading","normal","2025-08-10","Day 164 of reading plan"
"Read Luke 2:41-52 (Aug 11)","Bible Reading","normal","2025-08-11","Day 165 of reading plan"
"Read Mark 1:1-13 (Aug 12)","Bible Reading","normal","2025-08-12","Day 166 of reading plan"
"Read John 1:19-34 (Aug 13)","Bible Reading","normal","2025-08-13","Day 167 of reading plan"
"Read John 1:35-51 (Aug 14)","Bible Reading","normal","2025-08-14","Day 168 of reading plan"
"Read John 2:1-25 (Aug 15)","Bible Reading","normal","2025-08-15","Day 169 of reading plan"
"Read John 3:1-21 (Aug 16)","Bible Reading","normal","2025-08-16","Day 170 of reading plan"
"Read John 3:22-36 (Aug 17)","Bible Reading","normal","2025-08-17","Day 171 of reading plan"
"Read John 4:1-42 (Aug 18)","Bible Reading","normal","2025-08-18","Day 172 of reading plan"
"Read John 4:43-54 (Aug 19)","Bible Reading","normal","2025-08-19","Day 173 of reading plan"
"Read Luke 4:16-30 (Aug 20)","Bible Reading","normal","2025-08-20","Day 174 of reading plan"
"Read Mark 1:16-39 (Aug 21)","Bible Reading","normal","2025-08-21","Day 175 of reading plan"
"Read Luke 5:1-39 (Aug 22)","Bible Reading","normal","2025-08-22","Day 176 of reading plan"
"Read John 5:1-47 (Aug 23)","Bible Reading","normal","2025-08-23","Day 177 of reading plan"
"Read Mark 2:23-3:19 (Aug 24)","Bible Reading","normal","2025-08-24","Day 178 of reading plan"
"Read Matthew 5:1-16 (Aug 25)","Bible Reading","normal","2025-08-25","Day 179 of reading plan"
"Read Matthew 5:17-30 (Aug 26)","Bible Reading","normal","2025-08-26","Day 180 of reading plan"
"Read Matthew 5:31-48 (Aug 27)","Bible Reading","normal","2025-08-27","Day 181 of reading plan"
"Read Matthew 6:1-18 (Aug 28)","Bible Reading","normal","2025-08-28","Day 182 of reading plan"
"Read Matthew 6:19-34 (Aug 29)","Bible Reading","normal","2025-08-29","Day 183 of reading plan"
"Read Matthew 7:1-12 (Aug 30)","Bible Reading","normal","2025-08-30","Day 184 of reading plan"
"Read Matthew 7:13-29 (Aug 31)","Bible Reading","normal","2025-08-31","Day 185 of reading plan"
"Read Luke 7:1-17 (Sep 1)","Bible Reading","normal","2025-09-01","Day 186 of reading plan"
"Read Matthew 11:1-30 (Sep 2)","Bible Reading","normal","2025-09-02","Day 187 of reading plan"
"Read Luke 7:36-8:3 (Sep 3)","Bible Reading","normal","2025-09-03","Day 188 of reading plan"
"Read Matthew 12:22-50 (Sep 4)","Bible Reading","normal","2025-09-04","Day 189 of reading plan"
"Read Mark 4:1-29 (Sep 5)","Bible Reading","normal","2025-09-05","Day 190 of reading plan"
"Read Matthew 13:24-43 (Sep 6)","Bible Reading","normal","2025-09-06","Day 191 of reading plan"
"Read Matthew 13:44-52 (Sep 7)","Bible Reading","normal","2025-09-07","Day 192 of reading plan"
"Read Luke 8:22-56 (Sep 8)","Bible Reading","normal","2025-09-08","Day 193 of reading plan"
"Read Matthew 9:27-38 (Sep 9)","Bible Reading","normal","2025-09-09","Day 194 of reading plan"
"Read Mark 6:1-13 (Sep 10)","Bible Reading","normal","2025-09-10","Day 195 of reading plan"
"Read Matthew 10:16-42 (Sep 11)","Bible Reading","normal","2025-09-11","Day 196 of reading plan"
"Read Mark 6:14-29 (Sep 12)","Bible Reading","normal","2025-09-12","Day 197 of reading plan"
"Read Matthew 14:13-36 (Sep 13)","Bible Reading","normal","2025-09-13","Day 198 of reading plan"
"Read John 6:22-40 (Sep 14)","Bible Reading","normal","2025-09-14","Day 199 of reading plan"
"Read John 6:41-71 (Sep 15)","Bible Reading","normal","2025-09-15","Day 200 of reading plan"
"Read Mark 7:1-37 (Sep 16)","Bible Reading","normal","2025-09-16","Day 201 of reading plan"
"Read Matthew 15:32-16:12 (Sep 17)","Bible Reading","normal","2025-09-17","Day 202 of reading plan"
"Read Mark 8:22-9:1 (Sep 18)","Bible Reading","normal","2025-09-18","Day 203 of reading plan"
"Read Luke 9:28-45 (Sep 19)","Bible Reading","normal","2025-09-19","Day 204 of reading plan"
"Read Matthew 17:24-18:6 (Sep 20)","Bible Reading","normal","2025-09-20","Day 205 of reading plan"
"Read Mark 9:38-50 (Sep 21)","Bible Reading","normal","2025-09-21","Day 206 of reading plan"
"Read Matthew 18:10-22 (Sep 22)","Bible Reading","normal","2025-09-22","Day 207 of reading plan"
"Read John 7:1-31 (Sep 23)","Bible Reading","normal","2025-09-23","Day 208 of reading plan"
"Read John 7:32-53 (Sep 24)","Bible Reading","normal","2025-09-24","Day 209 of reading plan"
"Read John 8:1-20 (Sep 25)","Bible Reading","normal","2025-09-25","Day 210 of reading plan"
"Read John 8:21-59 (Sep 26)","Bible Reading","normal","2025-09-26","Day 211 of reading plan"
"Read Luke 10:1-24 (Sep 27)","Bible Reading","normal","2025-09-27","Day 212 of reading plan"
"Read Luke 10:25-42 (Sep 28)","Bible Reading","normal","2025-09-28","Day 213 of reading plan"
"Read Luke 11:1-13 (Sep 29)","Bible Reading","normal","2025-09-29","Day 214 of reading plan"
"Read Luke 11:14-32 (Sep 30)","Bible Reading","normal","2025-09-30","Day 215 of reading plan"
"Read Luke 11:33-54 (Oct 1)","Bible Reading","normal","2025-10-01","Day 216 of reading plan"
"Read Luke 12:1-21 (Oct 2)","Bible Reading","normal","2025-10-02","Day 217 of reading plan"
"Read Luke 12:22-48 (Oct 3)","Bible Reading","normal","2025-10-03","Day 218 of reading plan"
"Read Luke 12:49-59 (Oct 4)","Bible Reading","normal","2025-10-04","Day 219 of reading plan"
"Read Luke 13:1-21 (Oct 5)","Bible Reading","normal","2025-10-05","Day 220 of reading plan"
"Read John 9:1-41 (Oct 6)","Bible Reading","normal","2025-10-06","Day 221 of reading plan"
"Read John 10:1-18 (Oct 7)","Bible Reading","normal","2025-10-07","Day 222 of reading plan"
"Read Luke 13:22-35 (Oct 8)","Bible Reading","normal","2025-10-08","Day 223 of reading plan"
"Read Luke 14:1-14 (Oct 9)","Bible Reading","normal","2025-10-09","Day 224 of reading plan"
"Read Luke 14:15-35 (Oct 10)","Bible Reading","normal","2025-10-10","Day 225 of reading plan"
"Read Luke 15:1-10 (Oct 11)","Bible Reading","normal","2025-10-11","Day 226 of reading plan"
"Read Luke 15:11-32 (Oct 12)","Bible Reading","normal","2025-10-12","Day 227 of reading plan"
"Read Luke 16:1-18 (Oct 13)","Bible Reading","normal","2025-10-13","Day 228 of reading plan"
"Read Luke 16:19-31 (Oct 14)","Bible Reading","normal","2025-10-14","Day 229 of reading plan"
"Read John 11:1-36 (Oct 15)","Bible Reading","normal","2025-10-15","Day 230 of reading plan"
"Read John 11:37-57 (Oct 16)","Bible Reading","normal","2025-10-16","Day 231 of reading plan"
"Read Luke 17:1-19 (Oct 17)","Bible Reading","normal","2025-10-17","Day 232 of reading plan"
"Read Luke 17:20-37 (Oct 18)","Bible Reading","normal","2025-10-18","Day 233 of reading plan"
"Read Luke 18:1-14 (Oct 19)","Bible Reading","normal","2025-10-19","Day 234 of reading plan"
"Read Mark 10:1-16 (Oct 20)","Bible Reading","normal","2025-10-20","Day 235 of reading plan"
"Read Mark 10:17-31 (Oct 21)","Bible Reading","normal","2025-10-21","Day 236 of reading plan"
"Read Matthew 20:1-19 (Oct 22)","Bible Reading","normal","2025-10-22","Day 237 of reading plan"
"Read Mark 10:35-52 (Oct 23)","Bible Reading","normal","2025-10-23","Day 238 of reading plan"
"Read Luke 19:1-27 (Oct 24)","Bible Reading","normal","2025-10-24","Day 239 of reading plan"
"Read John 12:1-11 (Oct 25)","Bible Reading","normal","2025-10-25","Day 240 of reading plan"
"Read Matthew 21:1-17 (Oct 26)","Bible Reading","normal","2025-10-26","Day 241 of reading plan"
"Read John 12:20-36 (Oct 27)","Bible Reading","normal","2025-10-27","Day 242 of reading plan"
"Read John 12:37-50 (Oct 28)","Bible Reading","normal","2025-10-28","Day 243 of reading plan"
"Read Mark 11:20-33 (Oct 29)","Bible Reading","normal","2025-10-29","Day 244 of reading plan"
"Read Matthew 21:28-46 (Oct 30)","Bible Reading","normal","2025-10-30","Day 245 of reading plan"
"Read Matthew 22:1-14 (Oct 31)","Bible Reading","normal","2025-10-31","Day 246 of reading plan"
"Read Luke 20:20-40 (Nov 1)","Bible Reading","normal","2025-11-01","Day 247 of reading plan"
"Read Mark 12:28-37 (Nov 2)","Bible Reading","normal","2025-11-02","Day 248 of reading plan"
"Read Matthew 23:1-39 (Nov 3)","Bible Reading","normal","2025-11-03","Day 249 of reading plan"
"Read Luke 21:1-24 (Nov 4)","Bible Reading","normal","2025-11-04","Day 250 of reading plan"
"Read Luke 21:25-38 (Nov 5)","Bible Reading","normal","2025-11-05","Day 251 of reading plan"
"Read Matthew 25:1-30 (Nov 6)","Bible Reading","normal","2025-11-06","Day 252 of reading plan"
"Read Matthew 25:31-46 (Nov 7)","Bible Reading","normal","2025-11-07","Day 253 of reading plan"
"Read Luke 22:1-13 (Nov 8)","Bible Reading","normal","2025-11-08","Day 254 of reading plan"
"Read John 13:1-20 (Nov 9)","Bible Reading","normal","2025-11-09","Day 255 of reading plan"
"Read John 13:21-38 (Nov 10)","Bible Reading","normal","2025-11-10","Day 256 of reading plan"
"Read John 14:1-14 (Nov 11)","Bible Reading","normal","2025-11-11","Day 257 of reading plan"
"Read John 14:15-31 (Nov 12)","Bible Reading","normal","2025-11-12","Day 258 of reading plan"
"Read John 15:1-16 (Nov 13)","Bible Reading","normal","2025-11-13","Day 259 of reading plan"
"Read John 15:17-16:4 (Nov 14)","Bible Reading","normal","2025-11-14","Day 260 of reading plan"
"Read John 16:5-33 (Nov 15)","Bible Reading","normal","2025-11-15","Day 261 of reading plan"
"Read John 17:1-26 (Nov 16)","Bible Reading","normal","2025-11-16","Day 262 of reading plan"
"Read Mark 14:26-52 (Nov 17)","Bible Reading","normal","2025-11-17","Day 263 of reading plan"
"Read John 18:1-24 (Nov 18)","Bible Reading","normal","2025-11-18","Day 264 of reading plan"
"Read Matthew 26:57-75 (Nov 19)","Bible Reading","normal","2025-11-19","Day 265 of reading plan"
"Read Matthew 27:1-10 (Nov 20)","Bible Reading","normal","2025-11-20","Day 266 of reading plan"
"Read Luke 23:1-12 (Nov 21)","Bible Reading","normal","2025-11-21","Day 267 of reading plan"
"Read Mark 15:6-24 (Nov 22)","Bible Reading","normal","2025-11-22","Day 268 of reading plan"
"Read Luke 23:32-49 (Nov 23)","Bible Reading","normal","2025-11-23","Day 269 of reading plan"
"Read Matthew 27:57-66 (Nov 24)","Bible Reading","normal","2025-11-24","Day 270 of reading plan"
"Read John 20:1-18 (Nov 25)","Bible Reading","normal","2025-11-25","Day 271 of reading plan"
"Read Matthew 28:8-15 (Nov 26)","Bible Reading","normal","2025-11-26","Day 272 of reading plan"
"Read Luke 24:13-43 (Nov 27)","Bible Reading","normal","2025-11-27","Day 273 of reading plan"
"Read John 20:24-21:14 (Nov 28)","Bible Reading","normal","2025-11-28","Day 274 of reading plan"
